id,Staðarlýsing,Breidd,Lengd
1,Krýsuvíkurvegamót,64.0269,-22.1091
2,Keflavíkurvegur,63.9998,-22.2464
3,Stapi,63.9618,-22.4505
4,Grænásvegamót,63.9798,-22.5616
5,,63.9770,-22.5574
6,,63.9730,-22.5405
7,Grófarhöfn,64.0075,-22.5567
8,Helguvík,64.0196,-22.5601
9,"Vegamót, Helguvík/Garður",64.0250,-22.5894
10,Garðskagi,64.0822,-22.6923
11,Sandgerði (suður),64.0290,-22.7008
12,Stafnesvegur,63.9878,-22.7339
13,Básendar,63.9696,-22.7418
14,Á Hafnavegi,63.9670,-22.5539
15,Stapafellsvegamót,63.9517,-22.5909
16,Sunnan við Hafnir,63.9255,-22.6851
17,Reykjanesvegur,63.8785,-22.6904
18,Nálægt Saltverksmiðju,63.8313,-22.6829
19,214gr 0.50km frá RN,63.8195,-22.6994
20,192gr 0.76km frá RN,63.8224,-22.7017
21,178gr 1.12km frá RN,63.8259,-22.7055
22,242gr 2.12km frá RN,63.8247,-22.6667
23,248gr 3.34km frá RN,63.8272,-22.6420
24,Berghraun,63.8194,-22.5632
25,Vegamót norðvestur Grindavík,63.8505,-22.4324
26,Siglubergsháls,63.8630,-22.3340
27,Latstögl,63.8497,-22.2073
28,Grindavíkurvegur,63.8843,-22.4211
29,Grindavíkurvegur,63.9047,-22.4211
30,Grindavíkurvegur,63.9201,-22.4206
31,Grindavíkurvegur,63.9375,-22.4272
32,Þrengslavegur,63.9925,-21.4641
33,Þrengslavegur,63.9458,-21.4044
34,Þrengslavegur,63.9359,-21.3968
35,Vegamót 38/39/390,63.9269,-21.3609
36,Vegamót 38/34,63.8917,-21.3646
37,Eyrarbakkavegur,63.8869,-21.2688
38,Austan við brú,63.8805,-21.1983
39,Selfossvegur,63.8690,-21.0996
40,Selfossvegur,63.9007,-21.0693
41,336gr 0.50km frá SE,63.9247,-21.0298
42,010gr 1.00km frá SE,63.9201,-21.0372
43,Skeiðavegamót,63.9533,-20.6983
44,Brjánsstaðavegamót,64.0022,-20.5493
45,Skarð (við hlið),64.0543,-20.3639
46,Flúðir,64.1389,-20.3275
47,Norðvestur-Skipholt   ,64.2280,-20.2498
48,Gýgjarhóll ,64.2899,-20.2316
49,Gullfoss,64.3259,-20.1312
50,"Kjalvegur, við flugvöll",64.3993,-20.0832
51,Sandvatnshlíðar,64.4616,-19.9863
52,Bláfellsháls,64.5088,-19.9145
